"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"CRYM",0.963376867441985,-0.963376867441985,0.349214988513479,0.349214988513479,0.800139615780116,0.800139615780117,0.116805597082263,-0.116805597082263,"ENSG00000103316","CRYM"
"CSF1R",-1.43839432125849,1.43839432125849,0.168951469474365,0.168951469474365,0.70611776225813,0.706117762258132,-0.243464683284934,0.243464683284934,"ENSG00000182578","CSF1R"
"CSMD1",0.708006764858128,-0.708006764858128,0.488786357759264,0.488786357759264,0.839021487063715,0.839021487063716,0.0754828824783215,-0.0754828824783216,"ENSG00000183117","CSMD1"
"CTIF",0.284913692078465,-0.284913692078465,0.779242315696737,0.779242315696737,0.939786603828602,0.939786603828603,0.0347621366358071,-0.0347621366358071,"ENSG00000134030","CTIF"
"CUX2",0.224458705489395,-0.224458705489395,0.825146194224947,0.825146194224947,0.970760228499938,0.970760228499938,0.0204405374160938,-0.0204405374160938,"ENSG00000111249","CUX2"
"CX3CR1",-0.315114999956758,0.315114999956758,0.756609979768562,0.756609979768562,0.92245232302263,0.922452323022632,-0.0641864070927235,0.0641864070927237,"ENSG00000168329","CX3CR1"
"CXCL14",0.0582715066445834,-0.0582715066445839,0.954229669823455,0.954229669823455,0.991676772350636,0.991676772350637,0.011860404936089,-0.0118604049360891,"ENSG00000145824","CXCL14"
"CXCR4",-1.48982809572989,1.48982809572989,0.155066834718691,0.155066834718691,0.701756464676482,0.701756464676482,-0.18360546527913,0.183605465279131,"ENSG00000121966","CXCR4"
"CYBA",-1.22767245729556,1.22767245729556,0.236733806274818,0.236733806274818,0.749216482183815,0.749216482183814,-0.26331404340783,0.26331404340783,"ENSG00000051523","CYBA"
"CYBB",-0.944899730134745,0.944899730134745,0.35829233471408,0.35829233471408,0.800139615780116,0.800139615780117,-0.110727151605333,0.110727151605333,"ENSG00000165168","CYBB"
"CYP46A1",-0.700569587408173,0.700569587408174,0.493297221123274,0.493297221123274,0.839021487063715,0.839021487063716,-0.0653446486655033,0.0653446486655034,"ENSG00000036530","CYP46A1"
"DACH1",0.167499715255151,-0.167499715255151,0.869005103510284,0.869005103510284,0.972560670263542,0.972560670263542,0.0198987612200354,-0.0198987612200354,"ENSG00000276644","DACH1"
"DBNDD2",1.70576056366971,-1.70576056366971,0.106733750754646,0.106733750754647,0.678211418294955,0.678211418294957,0.161000320082438,-0.161000320082437,"ENSG00000244274","DBNDD2"
"DCC",-0.353835543566867,0.353835543566865,0.727926509774563,0.727926509774565,0.921773438957594,0.921773438957594,-0.0414863528487562,0.041486352848756,"ENSG00000187323","DCC"
"DDIT4",-1.67228381838402,1.67228381838402,0.113251551222714,0.113251551222714,0.678211418294955,0.678211418294957,-0.251558154114263,0.251558154114263,"ENSG00000168209","DDIT4"
"DEAF1",-1.18788590993613,1.18788590993613,0.251635400648136,0.251635400648136,0.778253816437536,0.778253816437535,-0.118851662455122,0.118851662455122,"ENSG00000177030","DEAF1"
"DIRAS2",1.73210575922147,-1.73210575922147,0.101835095436548,0.101835095436548,0.678211418294955,0.678211418294957,0.139082356546331,-0.139082356546331,"ENSG00000165023","DIRAS2"
"DISC1",-1.33116889822265,1.33116889822265,0.20116863078395,0.20116863078395,0.749216482183815,0.749216482183814,-0.204614966060626,0.204614966060626,"ENSG00000162946","DISC1"
"DKK3",-0.847107446995052,0.847107446995053,0.409010094713925,0.409010094713925,0.81166637756118,0.81166637756118,-0.0733462538294739,0.0733462538294739,"ENSG00000050165","DKK3"
"EDIL3",-0.386544164774915,0.386544164774915,0.704014914168444,0.704014914168443,0.91389155485799,0.913891554857991,-0.0617833578436184,0.0617833578436184,"ENSG00000164176","EDIL3"
"EGR1",1.71627454579336,-1.71627454579336,0.104754809973151,0.104754809973151,0.678211418294955,0.678211418294957,0.506608871799483,-0.506608871799483,"ENSG00000120738","EGR1"
"EGR3",0.939869674418266,-0.939869674418267,0.360791328886044,0.360791328886044,0.800139615780116,0.800139615780117,0.165524770466287,-0.165524770466287,"ENSG00000179388","EGR3"
"ELMSAN1",0.127433020391774,-0.127433020391774,0.900132148218042,0.900132148218042,0.974872362691021,0.97487236269102,0.0155228404811692,-0.0155228404811692,"ENSG00000156030","ELMSAN1"
"ELOC",1.93775654295129,-1.93775654295129,0.0698960734181501,0.0698960734181504,0.62353320550135,0.623533205501349,0.15076595469525,-0.15076595469525,"ENSG00000154582","ELOC"
"ENC1",1.13495171040265,-1.13495171040265,0.272555070562108,0.272555070562109,0.786848261101095,0.786848261101095,0.136486292937046,-0.136486292937046,"ENSG00000171617","ENC1"
"ENPP2",0.640214829074708,-0.640214829074707,0.530791242754687,0.530791242754688,0.843008130676733,0.843008130676733,0.115566881922265,-0.115566881922265,"ENSG00000136960","ENPP2"
"EPAS1",-1.27811640494759,1.27811640494759,0.218831888912545,0.218831888912545,0.749216482183815,0.749216482183814,-0.157678617061619,0.157678617061619,"ENSG00000116016","EPAS1"
"ERBB4",-0.755386905005158,0.755386905005159,0.460625673893559,0.460625673893558,0.830402747903479,0.830402747903476,-0.0835368444245932,0.0835368444245933,"ENSG00000178568","ERBB4"
"EVI2A",0.703777406736919,-0.703777406736918,0.491348602846412,0.491348602846413,0.839021487063715,0.839021487063716,0.107901253726575,-0.107901253726575,"ENSG00000126860","EVI2A"
"FABP3",0.934179179305222,-0.934179179305222,0.363632809744579,0.363632809744579,0.800139615780116,0.800139615780117,0.0957334485866949,-0.0957334485866949,"ENSG00000121769","FABP3"
"FGFR3",0.191092097272098,-0.191092097272099,0.850776436085465,0.850776436085464,0.972560670263542,0.972560670263542,0.0244151401276009,-0.024415140127601,"ENSG00000068078","FGFR3"
"FILIP1",-0.60858803273646,0.608588032736459,0.551054115533709,0.551054115533709,0.856560801347734,0.856560801347734,-0.0961627474174705,0.0961627474174704,"ENSG00000118407","FILIP1"
"FKBP5",-0.878547935380519,0.878547935380518,0.392214521349411,0.392214521349412,0.800139615780116,0.800139615780117,-0.234177027132418,0.234177027132418,"ENSG00000096060","FKBP5"
"FLT1",-0.185461388736984,0.185461388736984,0.855119510689763,0.855119510689763,0.972560670263542,0.972560670263542,-0.0236021806462673,0.0236021806462673,"ENSG00000102755","FLT1"
